"ThreatHi","SamPt","NetComp","Gender","Educ","OwnPC","UseNet","nextyear_M","Statements1","OpinionPak","OpinionRussia","CanBuy_M","Region_M","TodayEcSit_M","GeoCode","AgeGroup2","TrustGov_M","totwt"
"0","37","5","Female",15,"No","Yes","3","3",NA,"3","2","Central","4","Rural","3","Trust",0.359738042912601
"0","37","4","Female",11,"Yes","Yes","2","3",NA,"3","1","Central","2","Rural","4",NA,0.455878383701419
"1","37","1","Female",13,"No","Yes","1","3",NA,"3","2","Central","2","Rural","1","Trust",0.344834159714438
"0","37","1","Female",14,"No","Yes","3","3","3","3","2","Central","2","Rural","2",NA,0.347051026939149
"0","37","1","Female",11,"No","No","2","3",NA,"3","2","Central","2","Rural","4","Trust",0.455878383701419
"0","38","5","Female",10,"Yes","Yes","2","2",NA,"4","2","Central","3","Rural","5","Trust",0.452005857012184
"0","38","3","Female",13,"No","Yes","2","3",NA,"3","1","Central","2","Rural","4","Trust",0.455878383701419
"0","38","4","Female",16,"Yes","Yes","1","1","2","4","4","Central","3","Rural","1","Trust",0.344834159714438
"1","39","5","Female",12,"Yes","Yes","1","4","1","4","2","Central","2","Rural","4","Trust",0.455878383701419
"1","39","5","Female",9,"Yes","Yes","3","4","2","4","2","Central","4","Rural","2","Trust",0.347051026939149
NA,"39","5","Female",14,"Yes","Yes","1","3","1",NA,"2","Central","2","Rural","4","Trust",0.455878383701419
"1","39","5","Female",12,"Yes","Yes","2","4",NA,"4","2","Central","2","Rural","2","Distrust",0.347051026939149
"0","39","1","Male",10,"No","No","3","4",NA,"3","3","Central","3","Rural","5","Trust",0.655489561934215
"0","39","3","Female",13,"Yes","Yes","2","3","2","3","5","Central","4","Rural","1","Trust",0.344834159714438
"0","40","1","Female",12,"No","No","3","2","2","4","3","Central","3","Rural","4","Trust",0.455878383701419
"0","40","1","Female",12,"Yes","Yes","2","4","3","3","2","Central","2","Rural","5","Trust",0.452005857012184
"0","41","1","Female",12,"No","No","1","3","1","3","2","Northern","3","Rural","3","Trust",0.693441186435793
"1","41","5","Female",15,"No","Yes",NA,"2","4","4","3","Northern","4","Rural","3","Trust",0.693441186435793
"0","41","5","Female",15,"Yes","Yes","2","2","4","4","4","Northern","2","Rural","2",NA,0.668985337013447
"1","42","4","Male",15,"Yes","Yes","2","4","4","4","5","Northern","3","Rural","1","Trust",0.963951678947457
"1","43","5","Female",8,"Yes","Yes","3","2","3","3","2","Northern","3","Rural","2","Trust",0.668985337013447
"1","43","5","Male",9,"Yes","Yes","2","1","2","4","1","Northern","3","Rural","1","Trust",0.963951678947457
"0","43","1","Male",9,"No","No","2","1","1","4","5","Northern","5","Rural","2","Trust",0.970148724173583
"1","43","2","Female",14,"Yes","Yes","2","3","1","3","3","Northern","2","Rural","5","Trust",0.871299224359785
"0","44","5","Male",15,"Yes","Yes","3","3","2","4","3","Northern","3","Rural","3","Trust",1.00561409210166
"0","44","5","Male",9,"No","Yes","3","1","3","4","2","Northern","5","Rural","4","Trust",1.27436543331074
"1","44","5","Male",11,"Yes","Yes","2","4","1","1","2","Northern","2","Rural","3","Trust",1.00561409210166
"1","45","1","Female",11,"No",NA,"2","3","2","4","2","Northern","3","Rural","3","Trust",0.693441186435793
"1","45","1","Female",13,"No","Yes","3","4","3","3","2","Northern","5","Rural","4","Trust",0.878764015906838
"0","45",NA,"Female",12,"No","No","2","3","3","4","2","Northern","3","Rural","3","Trust",0.693441186435793
"1","45",NA,"Male",13,NA,NA,"2","2","3","4","2","Northern","5","Rural","1","Trust",0.963951678947457
"0","45","1","Female",11,"No","No","3","3",NA,"3","2","Northern","5","Rural","4","Trust",0.878764015906838
"0","45","1","Female",12,"No","No","3","3",NA,"3","2","Northern","3","Rural","4","Trust",0.878764015906838
"1","46",NA,"Female",11,"No","Yes","3","3","3","3","3","Northern","5","Rural","2","Trust",0.668985337013447
"0","46","2","Female",10,"No","Yes","3","3","2","3","2","Northern","4","Rural","5","Trust",0.871299224359785
"0","46","1","Female",10,"No","No","2","2",NA,"4","1","Northern","5","Rural","4","Trust",0.878764015906838
"0","47","5","Male",14,"Yes","Yes","3","1","1","4","4","Southern","5","Rural","3","Trust",1.20476535794882
"0","48","2","Male",11,"Yes","Yes","3","2","1","3","4","Southern","5","Rural","2","Trust",1.16227644791638
"1","51","1","Female",10,"No","Yes","3","4",NA,"4","2","Western","4","Rural","3","Trust",0.674519491582665
